Source;Target;Budget;runtime_readGraph;runtime_SPTreeSource;runtime_SPTreeDest;runtime_Red;runtime_first_lambda;runtime_BCH_total;perc_eliminated_nodes;perc_eliminated_arcs
2191919;1689719;7501374.000000;12.838957;10.492495;2.644313;13.244243;0.220281;26.386225;98.049538;97.907761;
2191919;1689719;7702103.000000;12.838957;10.746981;2.225057;13.053437;0.185560;26.293611;98.049538;97.907761;
2191919;1689719;7902832.000000;12.838957;10.171613;2.723586;13.029275;0.167664;26.140681;94.303337;93.918518;
2191919;1689719;8103561.000000;12.838957;10.370899;2.801254;13.342823;0.272902;26.613116;94.303337;93.918518;
2191919;1689719;8304290.000000;12.838957;10.337830;2.280978;12.769535;0.290878;26.147278;94.303337;93.918518;
2191919;1689719;8505018.000000;12.838957;9.926540;2.783937;12.906250;0.431635;26.077948;94.303337;93.918518;
2191919;1689719;8705747.000000;12.838957;8.065158;2.496377;10.772180;0.482483;23.416060;94.303337;93.918518;
2191919;1689719;8906476.000000;12.838957;8.139052;2.722525;11.068743;0.491491;23.878311;94.303337;93.918518;
