Source;Target;Budget;runtime_readGraph;runtime_SP_R;runtime_SP_L;Resource_SP_R;Length_SP_R;Length_SP_L;runtime_Red;runtime_BCH;id_time_BCH;Resources_BCH;Length_BCH;BestIter;BestLambda;NumIter
2191919;1689719;7501374.000000;12.838957;1.581206;1.470447;7270508.000000;6987945.000000;6575932.000000;13.244243;10.033423;0.695933;7477701.000000;6878914.000000;3;0.750000;46
2191919;1689719;7702103.000000;12.838957;1.618467;1.500922;7270508.000000;6987945.000000;6575932.000000;13.053437;10.077280;1.709135;7670188.000000;6843522.000000;9;0.933594;61
2191919;1689719;7902832.000000;12.838957;1.534830;1.398517;7270508.000000;6987945.000000;6575932.000000;13.029275;10.113450;1.318294;7746215.000000;6745876.000000;5;0.687500;35
2191919;1689719;8103561.000000;12.838957;1.594494;1.443805;7270508.000000;6987945.000000;6575932.000000;13.342823;10.163617;1.383617;8069861.000000;6626105.000000;4;0.875000;37
2191919;1689719;8304290.000000;12.838957;1.633973;1.512314;7270508.000000;6987945.000000;6575932.000000;12.769535;10.173520;1.662617;8301484.000000;6601170.000000;5;0.937500;46
2191919;1689719;8505018.000000;12.838957;1.515531;1.399682;7270508.000000;6987945.000000;6575932.000000;12.906250;10.212389;2.383974;8301484.000000;6601170.000000;5;0.937500;35
2191919;1689719;8705747.000000;12.838957;1.293046;1.216307;7270508.000000;6987945.000000;6575932.000000;10.772180;10.079553;2.989497;8703124.000000;6582225.000000;6;0.968750;33
2191919;1689719;8906476.000000;12.838957;1.298160;1.403065;7270508.000000;6987945.000000;6575932.000000;11.068743;10.047497;3.176192;8710024.000000;6582060.000000;7;0.984375;41
